,Date,W_BUD_Close,W_Close,LW_BUD_Close,DLW_BUD_Close,LW_Close,DLW_Close,NBP_stopy,LAG_DLW_BUD_Close_1,LAG_DLW_Close_1,"2DLW_BUD_Closer","2DLW_Close",WIG_NCHROM,LWIG_NCHROM,DLWIG_NCHROM,DNBP_stopy
"449-1",2015-08-09,3030.5599999999999,52425.199999999997,8.0165026999084308,0.048643832286315636,10.867142670736616,-0.0061942003481370023,1.5,0.022615213080125152,0.017027448726572914,0.0023662224194992035,3.8368117952860562e-05,1413.8199999999999,7.2540505399092536,0.0179560075360925,0
"450-1",2015-08-16,3084.2600000000002,52566.449999999997,8.0340670372256398,0.017564337317208967,10.869833362524368,0.002690691787751831,1.5,0.048643832286315636,-0.0061942003481370023,0.0003085059453926995,7.2398222966751447e-06,1428.04,7.264058153711705,0.010007613802451409,0
"451-1",2015-08-23,2932.2399999999998,51850.610000000001,7.9835219150453858,-0.050545122180253976,10.856121978294352,-0.013711384230015611,1.5,0.017564337317208967,0.002690691787751831,0.0025548093762168024,0.00018800205750312078,1413.3099999999999,7.2536897499876494,-0.010368403724055675,0
"452-1",2015-08-30,2896.3400000000001,50972.440000000002,7.9712031499292939,-0.012318765116091868,10.839040373485135,-0.017081604809217055,1.5,-0.050545122180253976,-0.013711384230015611,0.00015175197398544188,0.00029178122285826723,1373.3699999999999,7.2250228523481761,-0.028666897639473277,0
"453-1",2015-09-06,2897.6500000000001,50792.080000000002,7.971655342640128,0.00045219271083407619,10.835495715900235,-0.0035446575849000794,1.5,-0.012318765116091868,-0.017081604809217055,2.0447824773147045e-07,1.2564597394189664e-05,1345.0699999999999,7.204201335291331,-0.020821517056845096,0
"454-1",2015-09-13,2936.0900000000001,51519.449999999997,7.9848340432155371,0.013178700575409152,10.849714685255414,0.014218969355178857,1.5,0.00045219271083407619,-0.0035446575849000794,0.00017367814885628952,0.00020217908952351542,1365.22,7.2190708667933947,0.014869531502063715,0
"455-1",2015-09-20,2999.8099999999999,51303.790000000001,8.0063042323112725,0.021470189095735392,10.845519907572232,-0.0041947776831818828,1.5,0.013178700575409152,0.014218969355178857,0.00046096901980663494,1.7596159811320765e-05,1392.8299999999999,7.2390929275672145,0.020022060773819739,0
"456-1",2015-09-27,2964.6199999999999,49935.089999999997,7.9945041413296876,-0.011800090981584965,10.818479241018657,-0.027040666553574511,1.5,0.021470189095735392,-0.0041947776831818828,0.00013924214717368283,0.00073119764766160322,1370.4000000000001,7.2228579470099099,-0.016234980557304546,0
"457-1",2015-10-04,2967.5100000000002,49275.660000000003,7.9954784963180776,0.00097435498839004708,10.805185526147353,-0.013293714871304374,1.5,-0.011800090981584965,-0.027040666553574511,9.4936764340056877e-07,0.00017672285507953908,1379.5799999999999,7.2295343840019646,0.0066764369920546685,0
"458-1",2015-10-11,3083,51710.739999999998,8.0336584278861505,0.038179931568072867,10.853420775866097,0.048235249718743489,1.5,0.00097435498839004708,-0.013293714871304374,0.001457707174542727,0.0023266393154295437,1471.4300000000001,7.2939899960357293,0.064455612033764709,0
"459-1",2015-10-18,3087.04,51391.650000000001,8.034967981982188,0.0013095540960375018,10.847230986884737,-0.0061897889813593565,1.5,0.038179931568072867,0.048235249718743489,1.7149319304485987e-06,3.8313487633757698e-05,1488.45,7.3054905890283601,0.011500592992630843,0
"460-1",2015-10-25,3139.9000000000001,51157.089999999997,8.051946231261411,0.016978249279222979,10.842656373699736,-0.0045746131850012972,1.5,0.0013095540960375018,-0.0061897889813593565,0.00028826094858743558,2.0927085792387712e-05,1483.6099999999999,7.3022335859540028,-0.0032570030743572786,0
"461-1",2015-11-01,3106.5,50271.650000000001,8.0412519695037492,-0.010694261757661749,10.825196578905077,-0.017459794794659089,1.5,0.016978249279222979,-0.0045746131850012972,0.00011436723454138657,0.00030484443427160465,1453.1300000000001,7.2814751296300164,-0.020758456323986429,0
"462-1",2015-11-08,3112.3800000000001,49599.290000000001,8.043142985812862,0.001891016309112814,10.811731798094437,-0.013464780810640065,1.5,-0.010694261757661749,-0.017459794794659089,3.57594268133065e-06,0.00018130032227858093,1464.71,7.2894125496376114,0.0079374200075950085,0
"463-1",2015-11-15,3080.8899999999999,48697.099999999999,8.0329737952653808,-0.010169190547481222,10.793374759042994,-0.018357039051442925,1.5,0.001891016309112814,-0.013464780810640065,0.00010341243639098143,0.00033698088273620056,1450.95,7.2799737932966657,-0.0094387563409457087,0
"464-1",2015-11-22,3118.1700000000001,49434.43,8.0450015702610145,0.012027774995633678,10.808402423972456,0.015027664929462503,1.5,-0.010169190547481222,-0.018357039051442925,0.00014466737134559071,0.00022583071323219726,1516.47,7.3241405445392918,0.044166751242626034,0
"465-1",2015-11-29,3144.1900000000001,47996.800000000003,8.0533115842930982,0.0083100140320837568,10.77888962100104,-0.029512802971416008,1.5,0.012027774995633678,0.015027664929462503,6.9056333213428933e-05,0.00087100553922962157,1497.55,7.3115857184138404,-0.012554826125451335,0
"466-1",2015-12-06,3003.4499999999998,46537.669999999998,8.0075169069067673,-0.045794677386330918,10.748017371142337,-0.030872249858703071,1.5,0.0083100140320837568,-0.029512802971416008,0.0020971524769181284,0.00095309581133819178,1470.1600000000001,7.2931265173871687,-0.018459201026671757,0
"467-1",2015-12-13,2813.0900000000001,44220.32,7.9420388022901722,-0.06547810461659509,10.696939690929804,-0.051077680212532783,1.5,-0.045794677386330918,-0.030872249858703071,0.0042873821841817716,0.0026089294158937629,1446.6500000000001,7.2770058176226495,-0.016120699764519131,0
"468-1",2015-12-20,2877.8699999999999,45996.809999999998,7.964805716169983,0.02276691387981078,10.736327325240474,0.039387634310669384,1.5,-0.06547810461659509,-0.051077680212532783,0.00051833236761072076,0.0015513857365910201,1452.73,7.2811998238668165,0.0041940062441669923,0
"469-1",2015-12-27,2914.0100000000002,46564.080000000002,7.9772854184582531,0.012479702288270111,10.748584707432114,0.012257382191640076,1.5,0.02276691387981078,0.039387634310669384,0.00015574296920385425,0.00015024341819193528,1476.8199999999999,7.2976464064521176,0.016446582585301073,0
"470-1",2016-01-03,2926.2800000000002,46467.379999999997,7.9814872707816162,0.00420185232336312,10.746505840029075,-0.0020788674030391974,1.5,0.012479702288270111,0.012257382191640076,1.765556294735205e-05,4.3216896794189366e-06,1513.3499999999999,7.3220810155224978,0.024434609070380198,0
"471-1",2016-01-10,2832.0100000000002,43770.510000000002,7.9487419858808224,-0.03274528490079387,10.686715581933372,-0.059790258095702598,1.5,0.00420185232336312,-0.0020788674030391974,0.0010722536832341589,0.0035748749631507302,1486.1900000000001,7.3039710771312256,-0.018109938391272173,0
"472-1",2016-01-17,2743.7600000000002,43719.529999999999,7.9170845214637646,-0.031657464417057746,10.685550192003962,-0.0011653899294099546,1.5,-0.03274528490079387,-0.059790258095702598,0.0010021950533172772,1.3581336875701388e-06,1465.0999999999999,7.289678778507267,-0.014292298623958644,0
"473-1",2016-01-24,2712.8800000000001,43039.419999999998,7.9057660802026222,-0.011318441261142453,10.669871718908436,-0.015678473095526613,1.5,-0.031657464417057746,-0.0011653899294099546,0.00012810711258193198,0.00024581451860715187,1434.54,7.2685995193128967,-0.021079259194370259,0
"474-1",2016-01-31,2781.0700000000002,44290.050000000003,7.9305910247190559,0.024824944516433689,10.698515325839614,0.028643606931177956,1.5,-0.011318441261142453,-0.015678473095526613,0.00061627787024401111,0.00082045621802782583,1466.5799999999999,7.2906884385832154,0.022088919270318641,0
"475-1",2016-02-07,2855,44671.660000000003,7.956827122090111,0.026236097371055145,10.707094575061562,0.0085792492219489702,1.5,0.024824944516433689,0.028643606931177956,0.00068833280526348669,7.3603517212312007e-05,1460.9000000000001,7.2868079631384681,-0.0038804754447472334,0
"476-1",2016-02-14,2803.0500000000002,43849.400000000001,7.9384633890363743,-0.01836373305373673,10.688516314696454,-0.01857826036510879,1.5,0.026236097371055145,0.0085792492219489702,0.00033722669166890297,0.00034515175819377217,1420.72,7.2589190643463395,-0.027888898792128636,0
"477-1",2016-02-21,2802.1199999999999,45455.800000000003,7.9381315525323846,-0.00033183650398971309,10.724495704225085,0.03597938952863089,1.5,-0.01836373305373673,-0.01857826036510879,1.1011546538011487e-07,0.0012945164708529542,1437.9000000000001,7.2709389948336955,0.012019930487356056,0
"478-1",2016-02-28,2942.48,45770.440000000002,7.9870080421699559,0.048876489637571296,10.73139374688529,0.006898042660205661,1.5,-0.00033183650398971309,0.03597938952863089,0.0023889112392916144,4.7582992542017196e-05,1448.48,7.2782700097271302,0.0073310148934346842,0
"479-1",2016-03-06,2856.6500000000001,46400.669999999998,7.9574048886009789,-0.029603153568976914,10.745069177765268,0.013675430879978023,1.5,0.048876489637571296,0.006898042660205661,0.00087634670122843064,0.00018701740975305651,1500.05,7.3132537198680918,0.034983710140961577,0
"480-1",2016-03-13,2883.9400000000001,47182.129999999997,7.9669126937501442,0.0095078051491652715,10.761770498191016,0.016701320425747568,1.5,-0.029603153568976914,0.013675430879978023,9.0398358754493653e-05,0.00027893410396349292,1542.24,7.3409911840356576,0.02773746416756584,0
"481-1",2016-03-20,2837.0999999999999,48211.449999999997,7.9505376826895757,-0.01637501106056849,10.783351823694934,0.021581325503918336,1.5,0.0095078051491652715,0.016701320425747568,0.00026814098723374039,0.00046575361050607604,1568.4400000000001,7.3578367737909991,0.01684558975534145,0
"482-1",2016-03-27,2890.8299999999999,47778.010000000002,7.9692989371050809,0.018761254415505135,10.774320770786829,-0.0090310529081047974,1.5,-0.01637501106056849,0.021581325503918336,0.00035198466724331096,8.1559916628988122e-05,1576.7,7.363089334243436,0.0052525604524369385,0
"483-1",2016-04-03,2883.21,48506.459999999999,7.9666595357764836,-0.0026394013285973017,10.78945226393208,0.015131493145251085,1.5,0.018761254415505135,-0.0090310529081047974,6.9664393734012017e-06,0.00022896208480478056,1579.6099999999999,7.3649332601090922,0.0018439258656561819,0
"484-1",2016-04-10,2870.5599999999999,47556.029999999999,7.9622624116710741,-0.0043971241054094889,10.769663873813462,-0.019788390118618437,1.5,-0.0026394013285973017,0.015131493145251085,1.9334700398373198e-05,0.00039158038348663583,1582.9200000000001,7.3670265216488291,0.0020932615397368792,0
"485-1",2016-04-17,2913.0599999999999,48095.43,7.9769593540696606,0.014696942398586543,10.780942441185069,0.011278567371606485,1.5,-0.0043971241054094889,-0.019788390118618437,0.00021600011586737078,0.00012720608195586642,1615.3599999999999,7.3873131210326841,0.02028659938385502,0
"486-1",2016-04-24,2897.8699999999999,48446.389999999999,7.9717312633513346,-0.0052280907183259728,10.788213104738997,0.0072706635539283582,1.5,0.014696942398586543,0.011278567371606485,2.7332932559046185e-05,5.2862548514422146e-05,1639.1600000000001,7.4019391944795636,0.014626073446879495,0
"487-1",2016-05-01,2890.1999999999998,47641.989999999998,7.9690809828642299,-0.0026502804871046948,10.771469794217314,-0.016743310521682986,1.5,-0.0052280907183259728,0.0072706635539283582,7.0239866603278978e-06,0.00028033844722550016,1649.9300000000001,7.4084881417522688,0.0065489472727051634,0
"488-1",2016-05-08,2859.23,46663.669999999998,7.9583076367955572,-0.010773346068672751,10.750721196575793,-0.020748597641521371,1.5,-0.0026502804871046948,-0.016743310521682986,0.00011606498551538662,0.00043050430408974623,1611.1700000000001,7.384715902128586,-0.0237722396236828,0
"489-1",2016-05-15,2832.27,46063.669999999998,7.9488337892521894,-0.0094738475433677749,10.737779848880482,-0.012941347695310412,1.5,-0.010773346068672751,-0.020748597641521371,8.9753787274975618e-05,0.00016747848017091612,1617.53,7.3886555733437085,0.0039396712151225088,0
"490-1",2016-05-22,2793.1199999999999,45784.760000000002,7.9349145295764698,-0.013919259675719609,10.731706563636644,-0.0060732852438381002,1.5,-0.0094738475433677749,-0.012941347695310412,0.00019374578992011393,3.6884793653021613e-05,1576.79,7.3631464138600036,-0.025509159483704913,0
"491-1",2016-05-29,2816.5300000000002,46634.550000000003,7.9432609097958826,0.0083463802194128078,10.750096961709454,0.018390398072810399,1.5,-0.013919259675719609,-0.0060732852438381002,6.9662062767005391e-05,0.00033820674127642844,1602.22,7.3791454465392068,0.015999032679203218,0
"492-1",2016-06-05,2743.1300000000001,45523.93,7.9168548831795018,-0.026406026616380807,10.725993400750129,-0.024103560959325421,1.5,0.0083463802194128078,0.018390398072810399,0.00069727824166501164,0.00058098165091991655,1585.96,7.3689451811957882,-0.010200265343418558,0
"493-1",2016-06-12,2718.9299999999998,45348.199999999997,7.907993699541966,-0.0088611836375358521,10.722125763465595,-0.0038676372845340978,1.5,-0.026406026616380807,-0.024103560959325421,7.8520575458133118e-05,1.495861816471829e-05,1600.8399999999999,7.3782837704635877,0.009338589267799513,0
"494-1",2016-06-19,2590.9400000000001,44606.860000000001,7.859776023211773,-0.048217676330192916,10.705642937839547,-0.016482825626047415,1.5,-0.0088611836375358521,-0.0038676372845340978,0.0023249443106832463,0.00027168354061868534,1561.6500000000001,7.3534982335888719,-0.024785536874715852,0
"495-1",2016-06-26,2518.5300000000002,44773.75,7.8314306769670532,-0.028345346244719849,10.709377309174615,0.0037343713350672658,1.5,-0.048217676330192916,-0.016482825626047415,0.00080345865373305364,1.3945529268172073e-05,1555.24,7.3493851535400259,-0.0041130800488460295,0
"496-1",2016-07-03,2555.7399999999998,44754.050000000003,7.8460970888836989,0.01466641191664575,10.708937222401167,-0.00044008677344820057,1.5,-0.028345346244719849,0.0037343713350672658,0.00021510363850872844,1.9367636816404781e-07,1613.23,7.3859936594045283,0.036608505864502483,0
"497-1",2016-07-10,2573.77,44024.660000000003,7.8531270290743134,0.0070299401906144254,10.692505210449861,-0.016432011951305725,1.5,0.01466641191664575,-0.00044008677344820057,4.9420059083615981e-05,0.00027001101676785415,1594.5,7.3743154864501124,-0.011678172954415977,0
"498-1",2016-07-17,2659.0300000000002,45540.599999999999,7.88571667361638,0.032589644542066587,10.726359514761505,0.033854304311644157,1.5,0.0070299401906144254,-0.016432011951305725,0.0010620849313782504,0.0011461139204254082,1624.24,7.392795293053986,0.018479806603873605,0
"499-1",2016-07-24,2693.1599999999999,46541.690000000002,7.8984705043404233,0.012753830724043347,10.74810374904615,0.021744234284645003,1.5,0.032589644542066587,0.033854304311644157,0.00016266019813755204,0.00047281172462553119,1637.48,7.4009137536943603,0.0081184606403743587,0
"500-1",2016-07-31,2713.8099999999999,46171.720000000001,7.9061088305749871,0.0076383262345638414,10.740122768435032,-0.0079809806111175163,1.5,0.012753830724043347,0.021744234284645003,5.8344027665626235e-05,6.3696051515033729e-05,1647.3499999999999,7.4069232151906572,0.0060094614962968862,0
"501-1",2016-08-07,2697.3299999999999,47604.220000000001,7.9000176738303294,-0.0060911567446577664,10.770676691752033,0.030553923317000908,1.5,0.0076383262345638414,-0.0079809806111175163,3.7102190487989801e-05,0.00093354223006117181,1649.45,7.4081971779933884,0.0012739628027311767,0
"502-1",2016-08-14,2862,48631.440000000002,7.959275960116396,0.059258286286066664,10.792025514310442,0.021348822558408642,1.5,-0.0060911567446577664,0.030553923317000908,0.0035115444935614366,0.00045577222463041774,1673.3,7.4225530035005276,0.014355825507139208,0
"503-1",2016-08-21,2819.3400000000001,47536.720000000001,7.9442580939867353,-0.015017866129660717,10.769257744003031,-0.022767770307410728,1.5,0.059258286286066664,0.021348822558408642,0.00022553630308841057,0.00051837136477101363,1651.0999999999999,7.4091970114377865,-0.013355992062741073,0
"504-1",2016-08-28,2881.3099999999999,47456.360000000001,7.9660003308231468,0.021742236836411521,10.767565830883262,-0.0016919131197692394,1.5,-0.015017866129660717,-0.022767770307410728,0.00047272486265061007,2.8625700048472807e-06,1668.4000000000001,7.4196203623227905,0.010423350885004012,0
"505-1",2016-09-04,2849.02,47405.709999999999,7.9547303544802883,-0.011269976342858534,10.766497964562967,-0.0010678663202945415,1.5,0.021742236836411521,-0.0016919131197692394,0.00012701236676859103,1.1403384780194044e-06,1659.55,7.4143017602632391,-0.0053186020595514805,0
"506-1",2016-09-11,2825.27,47326.139999999999,7.9463592142347599,-0.0083711402455284301,10.764818064535413,-0.0016799000275540266,1.5,-0.011269976342858534,-0.0010678663202945415,7.007598901030579e-05,2.8220641025760193e-06,1669.4000000000001,7.420219559416636,0.0059177991533969632,0
"507-1",2016-09-18,2867.5100000000002,47166.669999999998,7.9611993363557714,0.01484012212101149,10.761442778068695,-0.0033752864667189186,1.5,-0.0083711402455284301,-0.0016799000275540266,0.00022022922456653457,1.1392558732415881e-05,1688.51,7.4316017622244308,0.011382202807794783,0
"508-1",2016-09-25,2863.1700000000001,47865.779999999999,7.9596846816098319,-0.001514654745939481,10.776156123079705,0.014713345011010404,1.5,0.01484012212101149,-0.0033752864667189186,2.2941789993969939e-06,0.00021648252141302473,1712,7.4454175567016874,0.01381579447725656,0
"509-1",2016-10-02,2945.73,47084.940000000002,7.9881119431279846,0.028427261518152669,10.759708483652176,-0.016447639427529026,1.5,-0.001514654745939481,0.014713345011010404,0.00080810919742144356,0.00027052484273800732,1726.5699999999999,7.4538920604622403,0.0084745037605529205,0
"510-1",2016-10-09,2924.21,47762.809999999998,7.9807796377162221,-0.0073323054117624409,10.77400258218162,0.014294098529443744,1.5,0.028427261518152669,-0.016447639427529026,5.3762702651360779e-05,0.00020432125276944579,1773.73,7.4808399528645237,0.026947892402283458,0
"511-1",2016-10-16,2938.6700000000001,47285.639999999999,7.9857123770252132,0.0049327393089910743,10.763961934305673,-0.010040647875946718,1.5,-0.0073323054117624409,0.014294098529443744,2.4331917090465741e-05,0.00010081460976875334,1755.76,7.470657090594603,-0.010182862269920712,0
"512-1",2016-10-23,2910.9299999999998,47931.139999999999,7.9762278967371554,-0.0094844802880578172,10.777520676556826,0.013558742251152722,1.5,0.0049327393089910743,-0.010040647875946718,8.9955366334557295e-05,0.00018383949143319398,1772.8499999999999,7.4803437001263591,0.0096866095317560408,0
"513-1",2016-10-30,2909.6900000000001,49070.849999999999,7.9758018252812768,-0.00042607145587858497,10.801020451126707,0.023499774569881282,1.5,-0.0094844802880578172,0.013558742251152722,1.8153688551449697e-07,0.00055223940483523895,1764.3900000000001,7.4755603005656646,-0.0047833995606945123,0
"514-1",2016-11-06,2787.4099999999999,47610.849999999999,7.9328681282516218,-0.042933697029654994,10.770815955421339,-0.030204495705367762,1.5,-0.00042607145587858497,0.023499774569881282,0.001843302340634206,0.00091231156081557959,1739.78,7.4615139474331622,-0.014046353132502354,0
"515-1",2016-11-13,2769.5799999999999,48447.589999999997,7.9264509631364835,-0.0064171651151383458,10.788237874079673,0.017421918658333979,1.5,-0.042933697029654994,-0.030204495705367762,4.1180008114948541e-05,0.00030352324973760564,1747.6800000000001,7.4660444730952333,0.0045305256620711276,0
"516-1",2016-11-20,2771.1799999999998,46910.910000000003,7.9270285012520034,0.00057753811551997103,10.756005549983207,-0.032232324096465703,1.5,-0.0064171651151383458,0.017421918658333979,3.3355027487835941e-07,0.0010389227166596037,1757.04,7.4713858540064972,0.0053413809112639044,0
"517-1",2016-11-27,2812.8499999999999,48579.080000000002,7.9419534832145526,0.014924981962549211,10.79094826454234,0.034942714559132781,1.5,0.00057753811551997103,-0.032232324096465703,0.00022275508658241928,0.0012209933007610301,1774.0999999999999,7.4810485310666026,0.0096626770601053735,0
"518-1",2016-12-04,2775.8000000000002,48474.029999999999,7.9286942729217396,-0.013259210292813073,10.788783469596048,-0.0021647949462924032,1.5,0.014924981962549211,0.034942714559132781,0.00017580665758904014,4.6863371594931292e-06,1793.96,7.4921807458261345,0.011132214759531855,0
"519-1",2016-12-11,2798.52,50693.75,7.9368459849916011,0.0081517120698615386,10.833557907818655,0.04477443822260696,1.5,-0.013259210292813073,-0.0021647949462924032,6.6450409669926294e-05,0.0020047503181500471,1842.05,7.518634360855101,0.026453615028966482,0
"520-1",2016-12-18,2803.98,51115.260000000002,7.9387951154614251,0.0019491304698240342,10.841838361747678,0.0082804539290233237,1.5,0.0081517120698615386,0.04477443822260696,3.7991095883964599e-06,6.8565917270677795e-05,1818.1700000000001,7.5055857797166325,-0.013048581138468407,0
"521-1",2016-12-25,2830.3899999999999,51295.580000000002,7.9481697903297484,0.0093746748683232184,10.845359867602834,0.0035215058551560929,1.5,0.0019491304698240342,0.0082804539290233237,8.7884528886770954e-05,1.2401003487898645e-05,1837.3900000000001,7.5161013653494964,0.010515585632863811,0
"522-1",2017-01-01,2857.4099999999999,51754.029999999999,7.9576708991099618,0.0095011087802134853,10.854257582491698,0.0088977148888638169,1.5,0.0093746748683232184,0.0035215058551560929,9.0271068053449788e-05,7.916933024350885e-05,1829.0599999999999,7.5115574526641717,-0.0045439126853246137,0
"523-1",2017-01-08,2906.4299999999998,52721.669999999998,7.9746808029016147,0.017009903791652903,10.872781845457695,0.018524262965996741,1.5,0.0095011087802134853,0.0088977148888638169,0.00028933682700128777,0.00034314831843339834,1865.2,7.5311235649341661,0.019566112269994385,0
"524-1",2017-01-15,3005.3400000000001,53498.260000000002,8.0081459853276584,0.033465182426043683,10.887404408990715,0.014622563533020383,1.5,0.017009903791652903,0.018524262965996741,0.001119918434808383,0.00021381936427721754,1846.1800000000001,7.5208739184348667,-0.010249646499299381,0
"525-1",2017-01-22,3018.1399999999999,53573.279999999999,8.0123960265885348,0.0042500412608763583,10.888805715300052,0.0014013063093365474,1.5,0.033465182426043683,0.014622563533020383,1.8062850719151504e-05,1.9636593725864157e-06,1881.78,7.5399734163941758,0.019099497959309097,0
"526-1",2017-01-29,3151.0999999999999,55657.699999999997,8.0555068772105383,0.043110850622003483,10.926975711912041,0.038169996611989276,1.5,0.0042500412608763583,0.0014013063093365474,0.0018585454413526982,0.0014569486413592728,1892.55,7.5456804050418596,0.0057069886476837084,0
"527-1",2017-02-05,3180.6700000000001,55408.230000000003,8.0648471454057162,0.0093402681951779698,10.922483417658711,-0.0044922942533300869,1.5,0.043110850622003483,0.038169996611989276,8.7240609957853132e-05,2.0180707658502523e-05,1895.9400000000001,7.547470036744615,0.0017896317027554787,0
"528-1",2017-02-12,3286.3899999999999,57385.029999999999,8.0975449768863772,0.032697831480660966,10.957538746899331,0.035055329240620381,1.5,0.0093402681951779698,-0.0044922942533300869,0.0010691481835377033,0.0012288761081682943,1922.3199999999999,7.5612880689079898,0.013818032163374738,0
"529-1",2017-02-19,3383.4499999999998,57972.68,8.1266511779659272,0.029106201079549976,10.967727144074207,0.010188397174875519,1.5,0.032697831480660966,0.035055329240620381,0.0008471709412831962,0.00010380343699301145,1922.6600000000001,7.5614649228842836,0.00017685397629385591,0
"530-1",2017-02-26,3410.8400000000001,58657.32,8.134713874253098,0.008062696287170823,10.979467654477871,0.011740510403663862,1.5,0.029106201079549976,0.010188397174875519,6.5007071419158168e-05,0.00013783958453853938,1919.51,7.5598252241173052,-0.001639698766978448,0
"531-1",2017-03-05,3593.8899999999999,59313.379999999997,8.1869904603086141,0.052276586055516105,10.9905901919124,0.011122537434529178,1.5,0.008062696287170823,0.011740510403663862,0.0027328414496197808,0.0001237108389825029,1927.78,7.5641243607758737,0.0042991366585685142,0
"532-1",2017-03-12,3565,58316.110000000001,8.1789193328483965,-0.008071127460217653,10.973633663497713,-0.016956528414686645,1.5,0.052276586055516105,0.011122537434529178,6.5143098479079461e-05,0.00028752385587807558,1935.9200000000001,7.5683379446686825,0.0042135838928087921,0
"533-1",2017-03-19,3674.46,60440.57,8.2091614620748672,0.030242129226470738,11.009415847182709,0.035782183684995417,1.5,-0.008071127460217653,-0.016956528414686645,0.00091458638015055557,0.0012803646692667522,1948.98,7.5750614377822565,0.0067234931135740084,0
"534-1",2017-03-26,3570.71,59069.559999999998,8.1805197345515897,-0.028641727523277538,10.986471011483967,-0.022944835698741173,1.5,0.030242129226470738,0.035782183684995417,0.00082034855551767411,0.00052646548524222731,1939.49,7.5701803308986966,-0.0048811068835599158,0
"535-1",2017-04-02,3518.6199999999999,57911.309999999998,8.1658241462676866,-0.014695588283903049,10.966667981272906,-0.019803030211061667,1.5,-0.028641727523277538,-0.022944835698741173,0.00021596031500998857,0.00039216000554022113,1933.4000000000001,7.5670353900305054,-0.0031449408681911706,0
"536-1",2017-04-09,3593.1799999999998,59287.919999999998,8.1867928832703196,0.02096873700263302,10.990160854284717,0.023492873011811355,1.5,-0.014695588283903049,-0.019803030211061667,0.00043968793148559121,0.00055191508234909428,1994.5,7.5981486713454611,0.031113281314955721,0
"537-1",2017-04-16,3582.6199999999999,58695.360000000001,8.1838496553032414,-0.0029432279670782435,10.980115956695295,-0.010044897589422064,1.5,0.02096873700263302,0.023492873011811355,8.6625908661915298e-06,0.00010089996758197718,1998.04,7.5999219790281209,0.0017733076826598193,0
