Date,WIG_BANKI_Open,WIG_BANKI_High,WIG_BANKI_Low,WIG_BANKI_Close,WIG_BANKI_Volume,WIG_PALIWA_Open,WIG_PALIWA_High,WIG_PALIWA_Low,WIG_PALIWA_Close,WIG_PALIWA_Volume
2/15/2009,3248.8,3401.44,3115.94,3115.94,36279787,1672.59,1729.01,1644.2,1644.2,22602896
2/22/2009,2982.02,2982.02,2334.67,2563.49,89202177,1583.69,1662.94,1490.22,1658.3,37034876
3/1/2009,2581.99,2594.54,2398.77,2533.36,61394426,1684.48,1718.09,1591.41,1607.27,29631107
3/8/2009,2505.7,2724.05,2480.67,2724.05,45249618,1622.54,1707.44,1622.54,1705.82,27206270
3/15/2009,2692.16,2915.13,2676.26,2862.03,54422870,1658.74,1701.76,1649.49,1649.49,25515117
3/22/2009,2934.78,2940.53,2776.68,2884.53,43601288,1666.76,1675.89,1614.46,1675.89,30532140
3/29/2009,2973.23,3178.51,2973.23,3026.56,42315542,1707.41,1900.55,1683.57,1833.81,50179621
4/5/2009,2896.63,3249.6,2756.69,3180.57,61348374,1818.8,1944.86,1799.55,1943.79,56720807
4/12/2009,3305.86,3553.99,3240.52,3553.99,48667450,1981.11,2063.49,1844.82,2063.49,30468125
4/19/2009,3626.63,3626.63,3347.58,3347.58,38959758,2095.52,2095.52,1914.65,1914.65,39334871
4/26/2009,3274.96,3516.37,3228.63,3516.37,44865637,1885.03,1983.72,1866.11,1983.72,27227975
5/3/2009,3460.75,3757.76,3359.66,3756.19,31222272,1964.53,2017.93,1896.56,2008,22096119
5/10/2009,3875.03,3985.74,3786.3,3809.17,50059340,2077.43,2124.42,2035.75,2071.95,36498316
5/17/2009,3789.43,3911.82,3678.9,3693.88,41436202,2028.98,2094.95,2001.43,2008.13,31337287
5/24/2009,3712.38,3886.42,3670.66,3683.81,34019004,2039.17,2152.05,2037.6,2052.07,32866885
5/31/2009,3640.02,3712.63,3526.5,3526.5,28870047,2025.96,2193.85,2025.96,2142.36,32016852
